,194,198,200,201,203,205,208,213,219,222,227,234,243,244,246,441,450,1093,1095,1097,1102,1104,1105,1109,1111,1112,1113,1115,1118,1127
X170,nn,nn,np,np,np,nn,np,np,nn,np,np,np,np,np,np,kk,hh,hk,hk,hk,hk,np,hk,np,nn,nn,nn,nn,nn,nn
X171,nn,nn,np,np,np,nn,np,nn,--,np,np,nn,nn,nn,nn,kk,hh,hk,hh,hh,hk,np,hk,np,nn,nn,nn,nn,nn,nn
X172,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,kk,hh,hk,hk,hk,hk,nn,hk,nn,np,np,np,np,np,np
X173,nn,nn,np,np,np,nn,--,np,nn,np,np,nn,nn,nn,nn,kk,hh,hk,hk,hk,hk,np,hk,np,nn,nn,nn,nn,nn,nn
X174,nn,nn,nn,np,nn,--,nn,np,nn,nn,nn,nn,nn,nn,nn,hk,hk,hh,hh,hh,hh,nn,hh,nn,nn,nn,nn,nn,np,nn
X175,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,np,kk,hk,kk,hk,kk,kk,np,kk,np,nn,nn,nn,nn,nn,nn
X176,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,np,hk,hk,hk,hk,hk,hh,np,hk,np,nn,nn,nn,nn,nn,nn
X177,nn,nn,np,nn,nn,np,nn,nn,nn,nn,nn,np,np,np,np,kk,hk,hk,hk,hk,hk,np,hk,np,nn,nn,nn,nn,nn,nn
X178,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,kk,hh,hk,hk,hk,hk,np,hk,np,nn,nn,nn,nn,nn,nn
X179,nn,nn,np,np,np,nn,nn,nn,np,nn,nn,np,np,np,np,kk,hh,hk,hk,hk,hk,np,hk,np,nn,nn,nn,nn,nn,nn
X180,nn,nn,np,np,np,nn,nn,nn,np,nn,nn,np,np,np,np,hk,hk,hh,hk,hk,hk,nn,hk,nn,np,np,np,np,np,np
X181,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,kk,hk,hh,hh,hh,hh,nn,hh,nn,np,np,np,np,np,np
X182,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,np,kk,hh,hk,hk,hk,hk,nn,hk,nn,np,np,np,np,np,np
X183,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,hk,hk,kk,kk,kk,kk,np,kk,np,nn,nn,nn,nn,nn,np
X184,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,hk,hk,hk,hk,hk,hk,nn,hk,nn,np,np,np,np,np,np
X185,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,hh,hk,hh,hh,hh,hh,nn,hh,nn,np,np,np,nn,np,np
X186,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,kk,hh,hh,hh,hh,hh,nn,hh,nn,np,np,np,np,np,nn
X187,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,hk,hk,hk,hk,hk,hk,nn,hk,nn,np,np,np,np,np,np
X188,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,hh,hk,hk,hk,hk,hk,nn,hk,nn,np,np,np,np,np,nn
X189,np,np,nn,nn,nn,np,nn,nn,nn,np,np,nn,nn,nn,nn,kk,hh,hh,hh,hh,hh,nn,hh,nn,np,np,np,np,np,np
X190,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,hh,kk,hh,hh,hh,hh,nn,hh,nn,np,np,np,np,np,np
X191,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,hk,hk,hk,hk,hk,hk,nn,hk,nn,np,np,np,np,np,np
X192,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,hk,hk,hk,hk,hk,hk,np,hk,np,nn,nn,nn,nn,nn,nn
X193,nn,nn,np,np,np,nn,nn,nn,np,nn,nn,np,np,np,np,hk,hk,hk,hk,hk,hk,nn,hk,nn,np,np,np,np,np,np
X194,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,hk,hk,kk,kk,kk,kk,np,kk,np,nn,nn,nn,nn,nn,nn
X195,nn,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,np,kk,hh,hk,kk,hk,hk,np,hk,np,nn,nn,np,np,np,np
X196,nn,nn,np,np,np,nn,nn,nn,np,nn,nn,np,np,np,np,hk,hk,kk,kk,kk,kk,np,kk,np,nn,nn,nn,nn,nn,nn
X197,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,np,hk,hk,hk,hk,hk,hk,nn,hk,nn,np,np,np,np,np,np
X198,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,kk,hh,hk,hk,hk,hk,nn,hk,nn,np,np,np,np,np,np
X199,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,--,np,np,kk,hh,hh,hh,hh,hh,nn,hh,nn,np,np,np,np,np,np
X200,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,kk,hk,hh,hh,hh,hh,nn,hh,nn,np,nn,np,np,np,np
X201,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,np,kk,hh,hk,hk,hk,hk,np,hk,np,nn,nn,nn,nn,nn,nn
X202,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,kk,hh,kk,kk,kk,kk,np,kk,np,nn,nn,nn,nn,nn,np
X203,nn,nn,np,np,np,nn,np,np,nn,np,np,np,np,np,np,hh,kk,kk,kk,kk,kk,np,kk,np,nn,nn,nn,nn,nn,nn
X204,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,np,hk,kk,hk,hk,hk,hk,nn,hk,nn,np,np,np,np,np,np
X205,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,hk,hk,kk,kk,kk,kk,np,kk,np,nn,nn,nn,nn,nn,nn
X206,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,hh,kk,kk,kk,kk,kk,np,kk,np,nn,nn,nn,nn,nn,nn
X207,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,np,hk,hk,hk,hk,hk,hk,nn,hk,nn,nn,nn,nn,nn,nn,nn
X208,np,np,nn,nn,np,nn,np,np,nn,np,np,nn,nn,nn,nn,kk,hh,hh,hh,hh,hh,nn,hh,nn,np,np,np,np,np,np
X209,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,kk,hk,hk,hk,hk,hk,nn,hk,nn,np,np,np,np,np,np
X210,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,hk,hk,kk,kk,kk,kk,np,kk,np,nn,nn,nn,nn,nn,nn
X211,np,np,nn,nn,nn,np,nn,nn,np,nn,np,np,np,np,np,hk,hk,hh,hh,hh,hh,nn,hh,nn,np,np,np,np,np,np
X212,np,np,nn,nn,nn,np,nn,nn,nn,np,np,nn,nn,nn,nn,hk,hk,hh,hh,hh,hh,nn,hh,nn,np,np,np,np,np,np
X213,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,np,hk,hk,hh,hh,hh,hh,nn,hh,nn,np,np,np,np,np,np
X214,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,hk,kk,hk,hk,hk,hk,nn,hk,nn,np,np,np,np,np,nn
X215,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,np,kk,hh,hh,hh,hh,hh,nn,hh,nn,np,np,np,np,np,np
X216,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,np,np,np,hk,hk,hk,hk,hk,hk,np,hk,np,nn,nn,nn,nn,nn,nn
X217,nn,nn,nn,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,kk,hh,hk,hk,hk,hk,np,hk,np,nn,np,nn,nn,nn,nn
X218,nn,nn,np,np,np,nn,np,nn,nn,np,np,nn,nn,nn,nn,hh,kk,hk,hk,hk,hk,nn,hk,nn,np,np,np,np,np,np
X219,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,np,hk,hk,hk,hk,hk,hk,nn,hk,nn,np,np,np,np,np,np
X220,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,hh,hk,hk,kk,hk,hk,np,hk,np,nn,nn,nn,nn,nn,nn
X221,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,np,np,np,kk,hh,hk,hk,hk,hk,nn,hk,nn,np,np,np,np,np,np
X222,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,np,kk,hh,hk,hk,hk,hk,np,hk,np,nn,nn,nn,nn,nn,nn
X223,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,kk,hh,hh,hh,hh,hh,nn,hh,nn,np,np,np,np,np,np
X224,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,hk,hk,kk,kk,kk,kk,np,kk,np,np,np,np,np,np,np
X225,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,np,hh,kk,kk,kk,kk,kk,np,kk,np,nn,nn,nn,nn,nn,nn
X226,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,np,hk,hk,hk,hk,hk,hk,nn,hk,nn,np,np,np,np,np,nn
X227,np,np,nn,nn,nn,np,nn,nn,np,nn,np,np,np,np,np,kk,hh,kk,kk,kk,kk,np,hk,np,nn,nn,nn,nn,nn,nn
X228,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,np,hk,hk,hk,hk,hk,hk,nn,hk,nn,np,np,np,np,np,np
X229,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,np,hk,kk,kk,kk,kk,kk,np,kk,np,nn,nn,nn,nn,nn,nn
X230,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,np,hk,hk,hh,hh,hh,hh,nn,hh,nn,np,np,np,np,nn,nn
X231,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,np,hh,kk,kk,kk,kk,kk,np,kk,np,nn,nn,nn,nn,nn,nn
X232,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,hh,kk,hk,hk,hk,hk,nn,hk,nn,np,np,np,np,np,np
X233,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,kk,hh,hh,hh,hh,hh,nn,hh,nn,nn,nn,nn,nn,nn,nn
X234,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,hh,kk,hh,hh,hh,hh,nn,hh,nn,np,nn,nn,nn,nn,nn
X235,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,np,hk,hk,hk,hk,hk,hk,nn,hk,nn,np,np,np,np,np,np
X236,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,hk,hk,hh,hh,hh,hh,nn,hh,nn,np,np,np,np,np,np
X237,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,hh,kk,hh,hh,hh,hh,nn,hh,np,nn,nn,nn,nn,nn,nn
X238,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,nn,nn,hk,hk,kk,kk,kk,kk,np,kk,nn,np,np,np,np,np,np
X239,np,np,nn,nn,np,nn,np,np,nn,np,np,nn,nn,nn,nn,hh,kk,hh,hh,hk,hh,nn,hh,nn,np,np,np,np,np,np
X240,np,np,nn,nn,nn,np,nn,nn,np,nn,np,np,np,np,np,hk,hk,kk,kk,kk,kk,np,kk,np,nn,nn,nn,nn,nn,nn
X241,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,nn,nn,nn,nn,hk,hk,kk,kk,kk,kk,np,kk,np,nn,nn,nn,nn,nn,nn
X242,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,hk,hk,kk,kk,kk,kk,np,kk,np,nn,nn,np,nn,nn,nn
X243,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,hk,hk,kk,kk,kk,kk,np,kk,np,np,np,np,np,np,np
X244,np,np,nn,nn,nn,np,np,np,nn,np,np,nn,nn,nn,nn,hk,hk,hk,hk,hk,hk,nn,hk,nn,np,np,np,np,np,np
X245,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,hh,kk,hh,hk,hk,hk,nn,hk,nn,np,np,np,np,np,np
X246,nn,nn,np,np,np,nn,np,np,nn,np,np,np,np,np,np,kk,hh,hk,hk,hk,hk,np,hk,np,nn,nn,nn,nn,nn,nn
X247,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,hk,hk,hh,hh,hh,hh,nn,hh,nn,np,np,np,np,np,np
X248,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,hk,hk,hk,hk,hk,hk,nn,hk,nn,np,np,np,np,np,np
X249,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,hk,hk,hk,hk,hk,hk,nn,hk,nn,np,np,np,np,np,np
X250,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,hk,hk,hh,hh,hh,hh,nn,hh,nn,np,np,np,np,np,np
X251,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,hh,kk,hk,hk,hk,hk,nn,hk,nn,np,np,np,np,np,nn
X252,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,kk,hh,hh,hk,hk,hk,nn,hk,nn,np,np,np,np,np,np
X253,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,nn,nn,nn,nn,kk,hh,kk,kk,kk,kk,np,kk,np,nn,nn,nn,nn,nn,nn
X254,nn,nn,np,np,np,nn,nn,nn,np,nn,nn,np,np,np,np,hk,hk,hh,hh,hh,hh,nn,hh,nn,np,np,np,np,np,np
X255,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,hk,hk,hk,hk,hk,hk,np,hk,np,nn,nn,nn,nn,nn,nn
X256,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,kk,hh,hk,hk,hk,hk,nn,hk,nn,np,np,np,np,np,np
X257,nn,nn,np,np,np,nn,np,np,nn,np,np,np,np,np,np,hk,hk,hk,hk,hk,hk,np,hk,np,nn,nn,nn,nn,nn,nn
X258,nn,nn,np,np,np,nn,np,np,np,np,np,nn,nn,nn,nn,hh,kk,hk,hk,hk,hk,np,hk,np,nn,nn,nn,nn,nn,nn
X259,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,np,hk,hk,kk,kk,kk,hk,nn,hk,nn,np,np,np,np,np,np
X260,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,kk,hh,hh,hh,hh,hh,nn,hh,nn,np,np,np,np,np,np
